,산업분류,ID,지역,행정구역,인구 수,확진자 수,총사업체수,총종사자수,인구 대비 확진자 수,인구 대비 산업체 수,인구 대비 산업체 종사자 수,종사자수 대비 산업체 수
205,"예술, 스포츠 및 여가관련 서비스업(90~91)",울진,경상북도,울진군,48057,1,124,355,0.002080862309340991,0.2580269263582829,0.7387061198160518,34.92957746478873
206,"예술, 스포츠 및 여가관련 서비스업(90~91)",울릉,경상북도,울릉군,8729,0,22,79,0.0,0.2520334517126819,0.9050292129682667,27.848101265822784
207,"예술, 스포츠 및 여가관련 서비스업(90~91)",진주,경상남도,진주시,352333,12,977,2450,0.0034058688797245786,0.27729449129090944,0.6953648962771014,39.87755102040816
208,"예술, 스포츠 및 여가관련 서비스업(90~91)",통영,경상남도,통영시,131407,1,334,947,0.0007609944675702207,0.25417215216845374,0.720661760788999,35.26927138331573
209,"예술, 스포츠 및 여가관련 서비스업(90~91)",사천,경상남도,사천시,112248,3,234,1006,0.0026726534103057513,0.2084669660038486,0.8962297769225287,23.26043737574553
210,"예술, 스포츠 및 여가관련 서비스업(90~91)",김해,경상남도,김해시,539401,19,1178,4260,0.00352242580195439,0.21839039972117216,0.7897649429645106,27.652582159624412
211,"예술, 스포츠 및 여가관련 서비스업(90~91)",밀양,경상남도,밀양시,103762,4,192,515,0.003854975810026792,0.18503883888128603,0.4963281355409495,37.28155339805825
212,"예술, 스포츠 및 여가관련 서비스업(90~91)",거제,경상남도,거제시,252889,18,538,1538,0.007117747312061814,0.2127415585494031,0.6081719647750594,34.980494148244475
213,"예술, 스포츠 및 여가관련 서비스업(90~91)",양산,경상남도,양산시,344993,11,730,3068,0.0031884704907056086,0.21159849620137222,0.8892934059531643,23.79400260756193
214,"예술, 스포츠 및 여가관련 서비스업(90~91)",창원 의창,경상남도,창원시의창구,251931,6,658,2486,0.0023816044869428535,0.2611826254013996,0.9867781257566556,26.468222043443284
215,"예술, 스포츠 및 여가관련 서비스업(90~91)",창원 성산,경상남도,창원시성산구,225894,18,506,1454,0.00796833913251348,0.22399886672510114,0.6436647277041444,34.80055020632737
216,"예술, 스포츠 및 여가관련 서비스업(90~91)",창원 합포,경상남도,창원시마산합포구,178431,5,434,1081,0.002802203652952682,0.24323127707629283,0.6058364297683698,40.14801110083256
217,"예술, 스포츠 및 여가관련 서비스업(90~91)",창원 회원,경상남도,창원시마산회원구,197683,1,434,1240,0.0005058603926488369,0.21954341040959516,0.6272668868845576,35.0
218,"예술, 스포츠 및 여가관련 서비스업(90~91)",창원 진해,경상남도,창원시진해구,190276,3,405,1197,0.0015766570665769722,0.21284870398789127,0.6290861695642119,33.83458646616541
219,"예술, 스포츠 및 여가관련 서비스업(90~91)",의령,경상남도,의령군,26401,1,46,202,0.0037877353130563235,0.17423582440059088,0.7651225332373773,22.772277227722775
220,"예술, 스포츠 및 여가관련 서비스업(90~91)",함안,경상남도,함안군,67520,2,117,411,0.0029620853080568723,0.173281990521327,0.6087085308056872,28.467153284671532
221,"예술, 스포츠 및 여가관련 서비스업(90~91)",창녕,경상남도,창녕군,62703,23,119,642,0.03668086056488525,0.18978358292266717,1.0238744557676667,18.53582554517134
222,"예술, 스포츠 및 여가관련 서비스업(90~91)",고성(경남),경상남도,고성군,51778,2,98,391,0.0038626443663331914,0.1892695739503264,0.755146973618139,25.063938618925828
223,"예술, 스포츠 및 여가관련 서비스업(90~91)",남해,경상남도,남해군,42696,1,98,351,0.002342139778902005,0.22952969833239648,0.8220910623946037,27.92022792022792
224,"예술, 스포츠 및 여가관련 서비스업(90~91)",하동,경상남도,하동군,43001,0,77,196,0.0,0.1790656031255087,0.4558033534103858,39.285714285714285
225,"예술, 스포츠 및 여가관련 서비스업(90~91)",산청,경상남도,산청군,34122,1,68,164,0.0029306605708926793,0.19928491882070218,0.4806283336263994,41.46341463414634
226,"예술, 스포츠 및 여가관련 서비스업(90~91)",함양,경상남도,함양군,38005,1,61,306,0.002631232732535193,0.16050519668464677,0.8051572161557689,19.934640522875817
227,"예술, 스포츠 및 여가관련 서비스업(90~91)",거창,경상남도,거창군,60020,19,119,392,0.03165611462845718,0.19826724425191602,0.6531156281239587,30.357142857142854
228,"예술, 스포츠 및 여가관련 서비스업(90~91)",합천,경상남도,합천군,42856,10,69,353,0.023333955572148592,0.16100429344782527,0.8236886316968453,19.54674220963173
229,"예술, 스포츠 및 여가관련 서비스업(90~91)",제주,제주특별자치도,제주시,482932,26,1341,7111,0.005383780739317337,0.27767884505479035,1.4724640322032916,18.85810715792434
230,"예술, 스포츠 및 여가관련 서비스업(90~91)",서귀포,제주특별자치도,서귀포시,175350,26,460,4467,0.014827487881380098,0.2623324779013402,2.547476475620188,10.29773897470338
